pitches,onsets,durations,notes,staff_id,string,st3_dist_atk,st3_rests
[90],0,4432,['f#6'],center,[4],0,0
[66],616,307,['f#4'],down,[5],0,625
[66],1548,304,['f#4'],down,[5],932,4966
[74],4432,3940,['d5'],center,[4],0,0
[66],6818,142,['f#4'],down,[5],5270,0
[68],6960,142,['g#4'],down,[5],142,9
[71],7111,139,['b4'],down,[2],151,0
[69],7250,145,['a4'],down,[3],139,5
[72],7400,142,['c5'],down,[3],150,1412
[95],7841,5971,['b6'],up,[1],0,0
[88],8764,5497,['e6'],center,[5],0,0
[54],8954,94,['f#3'],down,[6],1554,9
[64],9057,91,['e4'],down,[4],103,5
[72],9153,932,['c5'],down,[3],96,0
[56],10085,227,['g#3'],down,[6],932,6
[58],10318,230,['bf3'],down,[5],233,6
[68],10554,227,['g#4'],down,[3],236,128
[79],10909,179,['g5'],down,[3],355,0
[76],11088,176,['e5'],down,[3],179,6
[74],11270,179,['d5'],down,[3],182,0
[71],11449,133,['b4'],down,[4],179,9
[69],11591,133,['a4'],down,[4],142,0
[65],11724,137,['f4'],down,[4],133,0
[68],11861,136,['g#4'],down,[4],137,0
[66],11997,105,['f#4'],down,[4],136,114
[63],12216,105,['ef4'],down,[4],219,0
[65],12321,108,['f4'],down,[4],105,6
[68],12435,108,['g#4'],down,[3],114,2727
[88],13812,3220,['e6'],up,[1],0,0
[71],14261,5603,['b4'],center,[6],0,0
"[71, 68, 59]",15270,361,"['b4', 'g#4', 'b3']",down,"[2, 3, 5]",2835,733
[58],16364,99,['bf3'],down,[5],1094,0
[74],16463,100,['d5'],down,[2],99,6
[71],16569,99,['b4'],down,[2],106,966
[90],17486,3645,['f#6'],up,[2],0,0
"[67, 66, 57]",17634,846,"['g4', 'f#4', 'a3']",down,"[3, 4, 5]",1065,0
[78],18480,134,['f#5'],down,[1],846,9
[77],18623,133,['f5'],down,[1],143,9
"[67, 66, 62]",18765,133,"['g4', 'f#4', 'd4']",down,"[3, 4, 5]",142,9
[59],18907,119,['b3'],down,[5],142,8
[61],19034,120,['c#4'],down,[5],127,1372
[66],20526,284,['f#4'],down,[5],1492,9
"[74, 73]",20819,312,"['d5', 'c#5']",down,"[3, 4]",293,304
[91],21137,1818,['g6'],up,[3],0,0
